Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-1713,2454185.91111,0.00021,0.00021,18.14,18.14,2013AJ....145...68J; 2009ApJ...691.1145S
-1703,2454198.97359,0.00066,0.00066,57.02,57.02,2013AJ....145...68J; 2009ApJ...691.1145S
-1691,2454214.64695,0.00036,0.00036,31.1,31.1,2013AJ....145...68J; 2009ApJ...691.1145S
-1690,2454215.95288,0.00033,0.00033,28.51,28.51,2013AJ....145...68J; 2009ApJ...691.1145S
-1672,2454239.4624,0.00047,0.00047,40.61,40.61,2011PASJ...63..301L
-1659,2454256.44644,0.0015,0.0015,129.6,129.6,2011PASJ...63..301L
-1597,2454337.42954,0.0012,0.0012,103.68,103.68,2011PASJ...63..301L
-1584,2454354.41094,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-1558,2454388.37034,0.0034,0.0034,293.76,293.76,2011PASJ...63..301L
-1469,2454504.62034,0.0024,0.0024,207.36,207.36,2011PASJ...63..301L
-1456,2454521.59844,0.0013,0.0013,112.32,112.32,2011PASJ...63..301L
-1448,2454532.04939,0.00033,0.00033,28.51,28.51,2011ApJ...726...94C
-1447,2454533.35515,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1446,2454534.66317,0.00019,0.00019,16.42,16.42,2013AJ....145...68J; 2009ApJ...700.1078G
-1445,2454535.96903,0.00039,0.00039,33.7,33.7,2013AJ....145...68J; 2009ApJ...691.1145S
-1444,2454537.27463,0.00038,0.00038,32.83,32.83,2011ApJ...726...94C
-1443,2454538.58126,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1442,2454539.88703,0.0004,0.0004,34.56,34.56,2011ApJ...726...94C
-1441,2454541.19261,0.00035,0.00035,30.24,30.24,2011ApJ...726...94C
-1440,2454542.4993,0.00041,0.00041,35.42,35.42,2011ApJ...726...94C
-1433,2454551.64434,0.0008,0.0008,69.12,69.12,2011PASJ...63..301L
